source,target,type
user_46,user_10,friend
user_31,user_5,sibling
user_20,user_22,parent
user_44,user_39,sibling
user_26,user_16,parent
user_35,user_31,parent
user_46,user_44,parent
user_10,user_49,sibling
user_18,user_47,friend
user_9,user_43,parent
user_21,user_14,sibling
user_33,user_46,friend
user_21,user_18,sibling
user_43,user_14,friend
user_8,user_38,friend
user_36,user_27,parent
user_46,user_3,friend
user_43,user_7,sibling
user_3,user_8,friend
user_38,user_8,parent
user_32,user_27,parent
user_17,user_31,friend
user_27,user_43,sibling
user_6,user_45,sibling
user_1,user_25,parent
user_5,user_44,parent
user_16,user_22,friend
user_28,user_21,parent
user_7,user_2,parent
user_10,user_14,friend
user_33,user_44,sibling
user_50,user_9,friend
user_39,user_19,parent
user_36,user_11,friend
user_26,user_45,friend
user_49,user_38,friend
user_1,user_26,friend
user_8,user_20,sibling
user_20,user_40,friend
user_47,user_6,friend
user_5,user_42,sibling
user_39,user_4,parent
user_16,user_7,parent
user_49,user_33,parent
user_11,user_27,parent
user_15,user_36,parent
user_18,user_41,friend
user_25,user_11,friend
user_21,user_4,friend
user_33,user_35,friend
user_1,user_41,sibling
user_13,user_8,parent
user_38,user_48,sibling
user_23,user_34,parent
user_13,user_33,sibling
user_29,user_40,sibling
user_11,user_46,parent
user_23,user_40,parent
user_24,user_22,friend
user_47,user_31,sibling
user_7,user_20,parent
user_24,user_23,sibling
user_26,user_2,parent
user_29,user_22,friend
user_46,user_36,sibling
user_43,user_11,parent
user_43,user_6,sibling
user_50,user_19,sibling
user_20,user_44,parent
user_4,user_35,parent
user_36,user_27,parent
user_11,user_24,friend
user_18,user_5,sibling
user_30,user_12,sibling
user_42,user_46,parent
user_37,user_34,sibling
user_4,user_35,parent
user_20,user_15,friend
user_41,user_6,parent
user_6,user_44,sibling
user_44,user_46,friend
user_15,user_19,sibling
user_26,user_9,parent
user_3,user_9,sibling
user_1,user_16,sibling
user_28,user_49,friend
user_20,user_5,sibling
user_15,user_26,friend
user_39,user_19,sibling
user_20,user_27,sibling
user_33,user_45,sibling
user_18,user_34,friend
user_40,user_5,parent
user_13,user_18,friend
user_32,user_38,sibling
user_13,user_35,sibling
user_22,user_50,sibling
user_46,user_11,sibling
user_48,user_42,parent
user_2,user_32,parent
